Date,Open,High,Low,Close,Adj Close**,Volume
08/10/1986,234.41,236.84,233.68,236.68,236.68,141700000.00
07/10/1986,234.74,235.18,233.46,234.41,234.41,125100000.00
06/10/1986,233.71,235.34,233.17,234.78,234.78,88250000.00
03/10/1986,233.92,236.16,232.79,233.71,233.71,128100000.00
02/10/1986,233.6,234.33,232.77,233.92,233.92,128100000.00
01/10/1986,231.32,234.62,231.32,233.6,233.6,143600000.00
30/09/1986,229.91,233.01,229.91,231.32,231.32,124900000.00
29/09/1986,232.23,232.23,228.08,229.91,229.91,115600000.00
26/09/1986,231.83,233.68,230.64,232.23,232.23,115300000.00
25/09/1986,231.83,236.28,230.67,231.83,231.83,134300000.00
24/09/1986,235.66,237.06,235.53,236.28,236.28,134600000.00
23/09/1986,234.96,235.88,234.5,235.67,235.67,132600000.00
22/09/1986,232.2,234.93,232.2,234.93,234.93,126100000.00
19/09/1986,232.3,232.31,230.69,232.21,232.21,153900000.00
18/09/1986,231.67,232.87,230.57,232.31,232.31,132200000.00
17/09/1986,231.73,233.81,231.38,231.68,231.68,141000000.00
16/09/1986,231.93,231.94,228.32,231.72,231.72,131200000.00
15/09/1986,230.67,232.82,229.44,231.94,231.94,155600000.00
12/09/1986,235.18,235.45,228.74,230.67,230.67,240500000.00
11/09/1986,247.06,247.06,234.67,235.18,235.18,237600000.00
10/09/1986,247.67,247.76,246.11,247.06,247.06,140300000.00
09/09/1986,248.14,250.21,246.94,247.67,247.67,137500000.00
08/09/1986,250.47,250.47,247.02,248.14,248.14,153300000.00
05/09/1986,253.83,254.13,250.33,250.47,250.47,180600000.00
04/09/1986,250.08,254.01,250.03,253.83,253.83,189400000.00
03/09/1986,248.52,250.08,247.59,250.08,250.08,154300000.00
02/09/1986,252.93,253.3,248.14,248.52,248.52,135500000.00
29/08/1986,252.84,254.07,251.73,252.93,252.93,125300000.00
28/08/1986,253.3,253.67,251.91,252.84,252.84,125100000.00
27/08/1986,252.84,254.24,252.66,253.3,253.3,143300000.00
26/08/1986,247.81,252.91,247.81,252.84,252.84,156600000.00
25/08/1986,250.19,250.26,247.76,247.81,247.81,104400000.00
22/08/1986,249.67,250.61,249.27,250.19,250.19,118100000.00
21/08/1986,249.77,250.45,249.11,249.67,249.67,135200000.00
20/08/1986,246.53,249.77,246.51,249.77,249.77,156600000.00
19/08/1986,247.38,247.42,245.82,246.51,246.51,109300000.00
18/08/1986,247.15,247.83,245.48,247.38,247.38,112800000.00
15/08/1986,246.25,247.15,245.7,247.15,247.15,123500000.00
14/08/1986,245.67,246.79,245.53,246.25,246.25,123800000.00
13/08/1986,243.34,246.51,243.06,245.67,245.67,156400000.00
12/08/1986,240.68,243.37,240.35,243.34,243.34,131700000.00
11/08/1986,236.88,241.2,236.87,240.68,240.68,125600000.00
08/08/1986,237.04,238.06,236.37,236.88,236.88,106300000.00
07/08/1986,236.84,238.02,236.31,237.04,237.04,122400000.00
06/08/1986,237.03,237.35,235.48,236.84,236.84,127500000.00
05/08/1986,235.99,238.31,235.97,237.03,237.03,153100000.00
04/08/1986,234.91,236.86,231.92,235.99,235.99,130000000.00
01/08/1986,236.12,236.89,234.59,234.91,234.91,114900000.00
31/07/1986,236.59,236.92,235.89,236.12,236.12,112700000.00
